candidate,district,precinct,party,votes,city,county,office
trump,8,5,no party,3,ontario,wayne,president
trump,8,6,no party,4,ontario,wayne,president
stein,8,1,no party,1,ontario,wayne,president
stein,8,2,no party,0,ontario,wayne,president
stein,8,3,no party,0,ontario,wayne,president
stein,8,4,no party,0,ontario,wayne,president
stein,8,5,no party,0,ontario,wayne,president
stein,8,6,no party,0,ontario,wayne,president
clinton,8,1,no party,0,ontario,wayne,president
clinton,8,2,no party,1,ontario,wayne,president
clinton,8,3,no party,2,ontario,wayne,president
clinton,8,4,no party,0,ontario,wayne,president
clinton,8,5,no party,0,ontario,wayne,president
clinton,8,6,no party,1,ontario,wayne,president
johnson,8,1,no party,0,ontario,wayne,president
johnson,8,2,no party,3,ontario,wayne,president
johnson,8,3,no party,2,ontario,wayne,president
johnson,8,4,no party,2,ontario,wayne,president
johnson,8,5,no party,2,ontario,wayne,president
johnson,8,6,no party,3,ontario,wayne,president
clinton,8,1,no party,0,ontario,wayne,president
clinton,8,2,no party,0,ontario,wayne,president
clinton,8,3,no party,0,ontario,wayne,president
clinton,8,4,no party,0,ontario,wayne,president
clinton,8,5,no party,0,ontario,wayne,president
clinton,8,6,no party,0,ontario,wayne,president
johnson,8,1,no party,1,ontario,wayne,president
johnson,8,2,no party,1,ontario,wayne,president
johnson,8,3,no party,1,ontario,wayne,president
johnson,8,4,no party,0,ontario,wayne,president
johnson,8,5,no party,1,ontario,wayne,president
johnson,8,6,no party,3,ontario,wayne,president
buchanan,8,1,no party,0,ontario,wayne,president
buchanan,8,2,no party,0,ontario,wayne,president
buchanan,8,3,no party,0,ontario,wayne,president
buchanan,8,4,no party,0,ontario,wayne,president
buchanan,8,5,no party,0,ontario,wayne,president
buchanan,8,6,no party,0,ontario,wayne,president
castle,8,1,no party,0,ontario,wayne,president
castle,8,2,no party,0,ontario,wayne,president
castle,8,3,no party,0,ontario,wayne,president
castle,8,4,no party,0,ontario,wayne,president
castle,8,5,no party,0,ontario,wayne,president
castle,8,6,no party,0,ontario,wayne,president
hoefling,8,1,no party,0,ontario,wayne,president
hoefling,8,2,no party,0,ontario,wayne,president
hoefling,8,3,no party,0,ontario,wayne,president
hoefling,8,4,no party,0,ontario,wayne,president
hoefling,8,5,no party,0,ontario,wayne,president
hoefling,8,6,no party,0,ontario,wayne,president
kahn,8,1,no party,0,ontario,wayne,president
kahn,8,2,no party,0,ontario,wayne,president
kahn,8,3,no party,0,ontario,wayne,president
kahn,8,4,no party,0,ontario,wayne,president
kahn,8,5,no party,0,ontario,wayne,president
kahn,8,6,no party,0,ontario,wayne,president
keniston,8,1,no party,0,ontario,wayne,president
keniston,8,2,no party,0,ontario,wayne,president
keniston,8,3,no party,0,ontario,wayne,president
keniston,8,4,no party,0,ontario,wayne,president
keniston,8,5,no party,0,ontario,wayne,president
keniston,8,6,no party,0,ontario,wayne,president
maturen,8,1,no party,0,ontario,wayne,president
maturen,8,2,no party,0,ontario,wayne,president
maturen,8,3,no party,0,ontario,wayne,president
maturen,8,4,no party,0,ontario,wayne,president
maturen,8,5,no party,0,ontario,wayne,president
maturen,8,6,no party,0,ontario,wayne,president
mcmullin,8,1,no party,1,ontario,wayne,president
