Name Party,Code,,Vote Count 1 2,Ab/Aff/Spec/Fed,Total Voters,Total
County Election,,,,,,
Column 01,,,,,,
Pos A01 PRESIDENT/VICE PRESIDENT,,,* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,
TRUMP/PENCE,CONSE,07 04,,69,0,1,,70
"",,Marion,,213,0,10,,223
TRUMP/PENCE,CONSE,08 01,,28,48,6,,82
TRUMP/PENCE,CONSE,08 02,,80,0,3,,83
TRUMP/PENCE,CONSE,08 03,,83,0,5,,88
TRUMP/PENCE,CONSE,08 04,,41,0,2,,43
TRUMP/PENCE,CONSE,08 05,,58,0,3,,61
TRUMP/PENCE,CONSE,08 06,,58,47,4,,109
"",,Ontario,,348,95,23,,466
TRUMP/PENCE,CONSE,09 01,,8,17,2,,27
TRUMP/PENCE,CONSE,09 02,,11,13,3,,27
TRUMP/PENCE,CONSE,09 03,,10,18,0,,28
TRUMP/PENCE,CONSE,09 04,,19,28,2,,49
TRUMP/PENCE,CONSE,09 05,,45,0,3,,48
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total
TRUMP/PENCE,CONSE,09 06,,10,17,5,,32
"",,Palmyra,,103,93,15,,211
TRUMP/PENCE,CONSE,10 01,,35,0,1,,36
TRUMP/PENCE,CONSE,10 02,,30,0,2,,32
"",,Rose,,65,0,3,,68
TRUMP/PENCE,CONSE,11 01,,20,0,1,,21
TRUMP/PENCE,CONSE,11 02,,23,0,1,,24
"",,Savannah,,43,0,2,,45
TRUMP/PENCE,CONSE,12 01,,38,0,0,,38
TRUMP/PENCE,CONSE,12 02,,11,34,3,,48
TRUMP/PENCE,CONSE,12 03,,11,33,2,,46
TRUMP/PENCE,CONSE,12 04,,39,0,3,,42
TRUMP/PENCE,CONSE,12 05,,22,8,4,,34
TRUMP/PENCE,CONSE,12 06,,29,21,4,,54
"",,Sodus,,150,96,16,,262
TRUMP/PENCE,CONSE,13 01,,17,57,2,,76
TRUMP/PENCE,CONSE,13 02,,74,70,5,,149
TRUMP/PENCE,CONSE,13 03,,85,0,3,,88
TRUMP/PENCE,CONSE,13 04,,65,0,4,,69
TRUMP/PENCE,CONSE,13 05,,34,23,4,,61
"",,Walworth,,275,150,18,,443
TRUMP/PENCE,CONSE,14 01,,23,9,2,,34
TRUMP/PENCE,CONSE,14 02,,65,0,7,,72
TRUMP/PENCE,CONSE,14 03,,58,17,1,,76
TRUMP/PENCE,CONSE,14 04,,41,0,3,,44
TRUMP/PENCE,CONSE,14 05,,56,0,5,,61
"",,Williamson,,243,26,18,,287
TRUMP/PENCE,CONSE,15 01,,13,8,3,,24
Name Party,Code,,Vote Count 1,2 Ab/Aff/Spec/Fed,Total Voters,,,,,Total
TRUMP/PENCE CONSE,15 02,,10,6 1,,,,,,17
TRUMP/PENCE CONSE,15 03,,19,11 2,,,,,,32
TRUMP/PENCE CONSE,15 04,,33,12 2,,,,,,47
"",Wolcott,,75,37 8,,,,,,120
"* * * * * * * * * * * * * * * * * * * * * * * * * * * * * *",,,,PRESIDENT/VICE PRESIDENT,,,Total,Pos,C01,"3,159"
Pos D01 PRESIDENT/VICE PRESIDENT,,,* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,,,,,
STEIN/BARAKA GREEN,01 01,,9,0 0,,,,,,9
STEIN/BARAKA GREEN,01 02,,5,1 1,,,,,,7
STEIN/BARAKA GREEN,01 03,,10,0 1,,,,,,11
STEIN/BARAKA GREEN,01 04,,7,0 0,,,,,,7
STEIN/BARAKA GREEN,01 05,,2,0 0,,,,,,2
STEIN/BARAKA GREEN,01 06,,11,0 1,,,,,,12
STEIN/BARAKA GREEN,01 07,,5,0 2,,,,,,7
STEIN/BARAKA GREEN,01 08,,2,4 1,,,,,,7
STEIN/BARAKA GREEN,01 09,,10,0 0,,,,,,10
STEIN/BARAKA GREEN,01 10,,4,0 1,,,,,,5
"",Arcadia,,65,5 7,,,,,,77
STEIN/BARAKA GREEN,02 01,,6,0 1,,,,,,7
"",Butler,,6,0 1,,,,,,7
STEIN/BARAKA GREEN,03 01,,4,3 1,,,,,,8
STEIN/BARAKA GREEN,03 02,,5,1 1,,,,,,7
STEIN/BARAKA GREEN,03 03,,2,0 1,,,,,,3
STEIN/BARAKA GREEN,03 04,,3,2 1,,,,,,6
"",Galen,,14,6 4,,,,,,24
STEIN/BARAKA GREEN,04 01,,7,0 1,,,,,,8
STEIN/BARAKA GREEN,04 02,,4,0 1,,,,,,5
"",Huron,,11,0 2,,,,,,13
STEIN/BARAKA GREEN,05 01,,6,0 0,,,,,,6
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total
STEIN/BARAKA,GREEN,05 02,,5,0,0,,5
STEIN/BARAKA,GREEN,05 03,,3,0,0,,3
STEIN/BARAKA,GREEN,05 04,,15,0,0,,15
STEIN/BARAKA,GREEN,05 05,,4,0,0,,4
"",,Lyons,,33,0,0,,33
STEIN/BARAKA,GREEN,06 01,,3,9,2,,14
STEIN/BARAKA,GREEN,06 02,,11,10,0,,21
STEIN/BARAKA,GREEN,06 03,,5,4,2,,11
STEIN/BARAKA,GREEN,06 04,,5,4,0,,9
STEIN/BARAKA,GREEN,06 05,,9,0,1,,10
"",,Macedon,,33,27,5,,65
STEIN/BARAKA,GREEN,07 01,,4,0,0,,4
STEIN/BARAKA,GREEN,07 02,,4,0,0,,4
STEIN/BARAKA,GREEN,07 03,,10,0,0,,10
STEIN/BARAKA,GREEN,07 04,,9,0,2,,11
"",,Marion,,27,0,2,,29
STEIN/BARAKA,GREEN,08 01,,2,7,1,,10
STEIN/BARAKA,GREEN,08 02,,14,1,0,,15
STEIN/BARAKA,GREEN,08 03,,10,0,0,,10
STEIN/BARAKA,GREEN,08 04,,6,0,0,,6
STEIN/BARAKA,GREEN,08 05,,12,0,0,,12
STEIN/BARAKA,GREEN,08 06,,8,3,0,,11
"",,Ontario,,52,11,1,,64
STEIN/BARAKA,GREEN,09 01,,3,5,0,,8
STEIN/BARAKA,GREEN,09 02,,7,3,0,,10
STEIN/BARAKA,GREEN,09 03,,2,3,1,,6
STEIN/BARAKA,GREEN,09 04,,3,3,1,,7
STEIN/BARAKA,GREEN,09 05,,10,0,0,,10
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total
STEIN/BARAKA,GREEN,09 06,,2,1,0,,3
"",,Palmyra,,27,15,2,,44
STEIN/BARAKA,GREEN,10 01,,4,0,0,,4
STEIN/BARAKA,GREEN,10 02,,5,0,2,,7
"",,Rose,,9,0,2,,11
STEIN/BARAKA,GREEN,11 01,,0,0,0,,0
STEIN/BARAKA,GREEN,11 02,,3,0,0,,3
"",,Savannah,,3,0,0,,3
STEIN/BARAKA,GREEN,12 01,,6,0,1,,7
STEIN/BARAKA,GREEN,12 02,,3,3,2,,8
STEIN/BARAKA,GREEN,12 03,,2,5,1,,8
STEIN/BARAKA,GREEN,12 04,,6,0,0,,6
STEIN/BARAKA,GREEN,12 05,,5,4,2,,11
STEIN/BARAKA,GREEN,12 06,,3,5,1,,9
"",,Sodus,,25,17,7,,49
STEIN/BARAKA,GREEN,13 01,,3,6,0,,9
STEIN/BARAKA,GREEN,13 02,,13,8,2,,23
STEIN/BARAKA,GREEN,13 03,,6,0,1,,7
STEIN/BARAKA,GREEN,13 04,,9,0,2,,11
STEIN/BARAKA,GREEN,13 05,,7,3,1,,11
"",,Walworth,,38,17,6,,61
STEIN/BARAKA,GREEN,14 01,,7,2,3,,12
STEIN/BARAKA,GREEN,14 02,,8,0,0,,8
STEIN/BARAKA,GREEN,14 03,,13,4,0,,17
STEIN/BARAKA,GREEN,14 04,,8,0,0,,8
STEIN/BARAKA,GREEN,14 05,,11,0,0,,11
"",,Williamson,,47,6,3,,56
STEIN/BARAKA,GREEN,15 01,,8,6,0,,14
Name Party,Code,,Vote Count 1,2 Ab/Aff/Spec/Fed,Total Voters,,,,,Total
STEIN/BARAKA GREEN,15 02,,0,0 0,,,,,,0
STEIN/BARAKA GREEN,15 03,,5,4 0,,,,,,9
STEIN/BARAKA GREEN,15 04,,1,4 3,,,,,,8
"",Wolcott,,14,14 3,,,,,,31
"* * * * * * * * * * * * * * * * * * * * * * * * * * * * * *",,,,PRESIDENT/VICE PRESIDENT,,,Total,Pos,D01,567
Pos E01 PRESIDENT/VICE PRESIDENT,,,* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,,,,,
CLINTON/KAINE WORKI,01 01,,8,0 1,,,,,,9
CLINTON/KAINE WORKI,01 02,,5,2 1,,,,,,8
CLINTON/KAINE WORKI,01 03,,2,0 1,,,,,,3
CLINTON/KAINE WORKI,01 04,,7,0 0,,,,,,7
CLINTON/KAINE WORKI,01 05,,6,0 1,,,,,,7
CLINTON/KAINE WORKI,01 06,,12,0 0,,,,,,12
CLINTON/KAINE WORKI,01 07,,3,0 0,,,,,,3
CLINTON/KAINE WORKI,01 08,,4,1 0,,,,,,5
CLINTON/KAINE WORKI,01 09,,6,0 0,,,,,,6
CLINTON/KAINE WORKI,01 10,,8,0 0,,,,,,8
"",Arcadia,,61,3 4,,,,,,68
CLINTON/KAINE WORKI,02 01,,6,0 0,,,,,,6
"",Butler,,6,0 0,,,,,,6
CLINTON/KAINE WORKI,03 01,,3,1 1,,,,,,5
CLINTON/KAINE WORKI,03 02,,3,2 1,,,,,,6
CLINTON/KAINE WORKI,03 03,,3,2 1,,,,,,6
CLINTON/KAINE WORKI,03 04,,4,1 0,,,,,,5
"",Galen,,13,6 3,,,,,,22
CLINTON/KAINE WORKI,04 01,,3,0 0,,,,,,3
